loop 11
         2030025 function calls (2022494 primitive calls) in 39.820 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1640    0.002    0.000    0.002    0.000 feedparser.py:210(_pop_message)
     3280    0.018    0.000    0.122    0.000 feedparser.py:218(_parsegen)
     1640    0.014    0.000    0.033    0.000 feedparser.py:471(_parse_headers)
     1640    0.005    0.000    0.005    0.000 feedparser.py:53(__init__)
     1640    0.004    0.000    0.007    0.000 feedparser.py:70(close)
     9840    0.007    0.000    0.008    0.000 feedparser.py:78(readline)
     3280    0.003    0.000    0.003    0.000 message.py:120(__init__)
     3280    0.001    0.000    0.002    0.000 message.py:181(is_multipart)
     1640    0.004    0.000    0.009    0.000 message.py:213(get_payload)
     6560    0.008    0.000    0.012    0.000 message.py:29(_splitparam)
     1640    0.001    0.000    0.002    0.000 message.py:303(set_payload)
     1640    0.002    0.000    0.011    0.000 message.py:451(items)
     1640    0.003    0.000    0.009    0.000 message.py:459(<listcomp>)
    14760    0.017    0.000    0.039    0.000 message.py:462(get)
     4920    0.002    0.000    0.003    0.000 message.py:479(set_raw)
     6560    0.011    0.000    0.050    0.000 message.py:564(get_content_type)
     4920    0.004    0.000    0.037    0.000 message.py:588(get_content_maintype)
     3280    0.001    0.000    0.001    0.000 parse.py:100(_noop)
     3280    0.004    0.000    0.004    0.000 parse.py:111(_coerce_args)
     1640    0.002    0.000    0.004    0.000 parse.py:148(username)
     1640    0.002    0.000    0.003    0.000 parse.py:186(_userinfo)
     1640    0.007    0.000    0.025    0.000 parse.py:369(urlparse)
      233    0.001    0.000    0.001    0.000 parse.py:408(_splitnetloc)
      233    0.000    0.000    0.000    0.000 parse.py:416(_checknetloc)
     1640    0.006    0.000    0.012    0.000 parse.py:434(urlsplit)
       12    0.000    0.000    0.000    0.000 parse.py:85(clear_cache)
     1640    0.001    0.000    0.001    0.000 parser.py:17(__init__)
     1640    0.006    0.000    0.192    0.000 parser.py:41(parse)
     1640    0.009    0.000    0.200    0.000 parser.py:59(parsestr)
     1857    0.001    0.000    0.001    0.000 platform.py:810(uname)
     1857    0.002    0.000    0.003    0.000 platform.py:899(system)
     1640    0.003    0.000    0.055    0.000 poolmanager.py:224(connection_from_host)
     1640    0.006    0.000    0.050    0.000 poolmanager.py:247(connection_from_context)
     1640    0.005    0.000    0.015    0.000 poolmanager.py:262(connection_from_pool_key)
     1640    0.001    0.000    0.002    0.000 poolmanager.py:302(_merge_pool_kwargs)
     1640    0.001    0.000    0.001    0.000 poolmanager.py:322(_proxy_requires_url_absolute_form)
     1640    0.001    0.000    0.001    0.000 poolmanager.py:335(_validate_proxy_scheme_url_selection)
     1640    0.015    0.000   10.157    0.006 poolmanager.py:352(urlopen)
     1640    0.024    0.000    0.029    0.000 poolmanager.py:78(_default_key_normalizer)
