6 seconds

loop 12
         1532162 function calls (1526568 primitive calls) in 16.731 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 enum.py:289(__call__)
       36    0.000    0.000    0.000    0.000 enum.py:580(__new__)
       18    0.000    0.000    0.000    0.000 enum.py:852(__and__)
     1195    0.001    0.000    0.001    0.000 errorhandler.py:103(check_response)
     1195    0.004    0.000    0.012    0.000 feedparser.py:101(push)
     2390    0.001    0.000    0.002    0.000 feedparser.py:122(pushlines)
     2390    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
     7170    0.005    0.000    0.011    0.000 feedparser.py:128(__next__)
     1195    0.007    0.000    0.012    0.000 feedparser.py:139(__init__)
     1195    0.002    0.000    0.102    0.000 feedparser.py:173(feed)
     2390    0.003    0.000    0.096    0.000 feedparser.py:178(_call_parse)
     1195    0.002    0.000    0.026    0.000 feedparser.py:184(close)
     1195    0.002    0.000    0.004    0.000 feedparser.py:197(_new_message)
     1195    0.001    0.000    0.001    0.000 feedparser.py:210(_pop_message)
     2390    0.013    0.000    0.093    0.000 feedparser.py:218(_parsegen)
     1195    0.011    0.000    0.025    0.000 feedparser.py:471(_parse_headers)
     1195    0.004    0.000    0.004    0.000 feedparser.py:53(__init__)
     1195    0.003    0.000    0.005    0.000 feedparser.py:70(close)
     7170    0.006    0.000    0.006    0.000 feedparser.py:78(readline)
     2390    0.003    0.000    0.003    0.000 message.py:120(__init__)
     2390    0.001    0.000    0.002    0.000 message.py:181(is_multipart)
     1195    0.003    0.000    0.007    0.000 message.py:213(get_payload)
     4780    0.006    0.000    0.009    0.000 message.py:29(_splitparam)
     1195    0.001    0.000    0.001    0.000 message.py:303(set_payload)
     1195    0.002    0.000    0.009    0.000 message.py:451(items)
     1195    0.002    0.000    0.007    0.000 message.py:459(<listcomp>)
    10755    0.013    0.000    0.029    0.000 message.py:462(get)
     3585    0.002    0.000    0.002    0.000 message.py:479(set_raw)
     4780    0.008    0.000    0.037    0.000 message.py:564(get_content_type)
     3585    0.003    0.000    0.027    0.000 message.py:588(get_content_maintype)
     2390    0.000    0.000    0.000    0.000 parse.py:100(_noop)
     2390    0.003    0.000    0.003    0.000 parse.py:111(_coerce_args)
     1195    0.001    0.000    0.003    0.000 parse.py:148(username)
     1195    0.001    0.000    0.002    0.000 parse.py:186(_userinfo)
     1195    0.006    0.000    0.018    0.000 parse.py:369(urlparse)
      195    0.001    0.000    0.001    0.000 parse.py:408(_splitnetloc)
      195    0.000    0.000    0.000    0.000 parse.py:416(_checknetloc)
     1195    0.005    0.000    0.009    0.000 parse.py:434(urlsplit)
        9    0.000    0.000    0.000    0.000 parse.py:85(clear_cache)
     1195    0.001    0.000    0.001    0.000 parser.py:17(__init__)
     1195    0.005    0.000    0.146    0.000 parser.py:41(parse)
     1195    0.007    0.000    0.153    0.000 parser.py:59(parsestr)
     1376    0.001    0.000    0.001    0.000 platform.py:810(uname)
     1376    0.002    0.000    0.002    0.000 platform.py:899(system)
     1195    0.002    0.000    0.039    0.000 poolmanager.py:224(connection_from_host)
     1195    0.004    0.000    0.036    0.000 poolmanager.py:247(connection_from_context)
     1195    0.004    0.000    0.011    0.000 poolmanager.py:262(connection_from_pool_key)
     1195    0.001    0.000    0.001    0.000 poolmanager.py:302(_merge_pool_kwargs)
     1195    0.000    0.000    0.000    0.000 poolmanager.py:322(_proxy_requires_url_absolute_form)
     1195    0.001    0.000    0.001    0.000 poolmanager.py:335(_validate_proxy_scheme_url_selection)
     1195    0.010    0.000    9.353    0.008 poolmanager.py:352(urlopen)
     1195    0.017    0.000    0.020    0.000 poolmanager.py:78(_default_key_normalizer)
     1195    0.000    0.000    0.000    0.000 proxy.py:4(connection_requires_http_tunnel)
     1195    0.005    0.000    0.014    0.000 queue.py:122(put)
     2390    0.001    0.000    0.002    0.000 queue.py:15(_qsize)
     1195    0.005    0.000    0.013    0.000 queue.py:154(get)
     1195    0.001    0.000    0.001    0.000 queue.py:18(_put)
     1195    0.001    0.000    0.001    0.000 queue.py:21(_get)
       34    0.000    0.000    0.005    0.000 re.py:198(search)
       34    0.000    0.000    0.005    0.000 re.py:289(_compile)
     1195    0.012    0.000    9.499    0.008 remote_connection.py:355(execute)
     1195    0.017    0.000    9.441    0.008 remote_connection.py:376(_request)
     1195    0.001    0.000    0.002    0.000 remote_connection.py:420(<listcomp>)
     1195    0.005    0.000    0.013    0.000 remote_connection.py:73(get_remote_connection_headers)
     1195    0.004    0.000    9.363    0.008 request.py:58(request)
      181    0.001    0.000    1.126    0.006 request.py:82(request_encode_url)
     1014    0.003    0.000    8.232    0.008 request.py:98(request_encode_body)
